Random Seed,Overall MSE,Predict MSE:,Train MSE
418,139.57675285370735,124.06218029265614,143.3690494680804
912,191.6171105630955,308.3625516103721,162.40091376884277
584,82.72020078186137,111.33884354109716,75.56448072816028
912,191.6171105630955,308.3625516103721,162.40091376884277
408,149.6961954490657,339.7709689589989,101.4462136866038
304,207.12741556527658,311.85929151801025,181.44976719061017
408,149.6961954490657,339.7709689589989,101.4462136866038
581,113.48560361463566,115.4589722660857,113.04866040393635
430,204.47470034752124,328.3759303597862,173.69842498007912
408,149.6961954490657,339.7709689589989,101.4462136866038
430,204.47470034752124,328.3759303597862,173.69842498007912
430,204.47470034752124,328.3759303597862,173.69842498007912
984,214.31275444354213,204.06709075135626,217.45302302887882
581,113.48560361463566,115.4589722660857,113.04866040393635
581,113.48560361463566,115.4589722660857,113.04866040393635
418,139.57675285370735,124.06218029265614,143.3690494680804
304,207.12741556527658,311.85929151801025,181.44976719061017
361,255.81026131894004,220.8810814370771,265.3290023978051
829,274.87126119195193,195.34211800903847,295.1430464003958
968,344.0985800270534,355.65066598799166,339.7507990789975
